id,duration,show_name,show_description,genres,episode_name,episode_description,explicit,category
57,22,TED Talks Daily,"Every weekday, TED Talks Daily brings you the latest talks in audio. Join host and journalist Elise Hu for thought-provoking ideas on every subject imaginable from Artificial Intelligence to Zoology, and everything in between  given by the world's leading thinkers and creators. With TED Talks Daily, find some space in your day to change your perspectives, ignite your curiosity, and learn something new.  ","Science, Design, Arts, Technology, Society & Culture, Education, Marketing, Management",Step 1: The Puls?e? | ZigZag,"ZigZag, a business podcast about being human, returns with The ZigZag Project: six steps (and episodes) to help you map out a path that aligns your personal values with your professional ambitions. In this first episode, host Manoush Zomorodi shares stories and data from the 150 listeners who volunteered to test the project. Learn why change requires spending time in ""the neutral zone"" -- and get your first assignment. Listen and subscribe to ZigZag and more podcasts from the TED Audio Collective wherever you're listening to this.",no,Education
58,18.5,TED Talks Daily,"Every weekday, TED Talks Daily brings you the latest talks in audio. Join host and journalist Elise Hu for thought-provoking ideas on every subject imaginable from Artificial Intelligence to Zoology, and everything in between  given by the world's leading thinkers and creators. With TED Talks Daily, find some space in your day to change your perspectives, ignite your curiosity, and learn something new.  ","Science, Design, Arts, Technology, Society & Culture, Education, Marketing, Management","An honest history of an ancient and ""nasty"" word | Kate Lister","With candor and cunning, sex historian Kate Lister chronicles the curious journey of an ancient, honest word with innocent origins and a now-scandalous connotation in this uproarious love letter to etymology, queens, cows and all things ""c**t."" (This talk contains mature language.)",no,Education
59,14,TED Talks Daily,"Every weekday, TED Talks Daily brings you the latest talks in audio. Join host and journalist Elise Hu for thought-provoking ideas on every subject imaginable from Artificial Intelligence to Zoology, and everything in between  given by the world's leading thinkers and creators. With TED Talks Daily, find some space in your day to change your perspectives, ignite your curiosity, and learn something new.  ","Science, Design, Arts, Technology, Society & Culture, Education, Marketing, Management",Language around gender and identity evolves (and always has) | Archie Crowley,"Dictionaries and grammar ""rules"" don't have the final word on language -- and believing they do can harm more than help, especially for the trans community. Sociolinguist Archie Crowley deconstructs three common myths around language, demonstrating how it's a fluid system that naturally evolves in the direction of inclusion.",no,Education
60,16.5,TED Talks Daily,"Every weekday, TED Talks Daily brings you the latest talks in audio. Join host and journalist Elise Hu for thought-provoking ideas on every subject imaginable from Artificial Intelligence to Zoology, and everything in between  given by the world's leading thinkers and creators. With TED Talks Daily, find some space in your day to change your perspectives, ignite your curiosity, and learn something new.  ","Science, Design, Arts, Technology, Society & Culture, Education, Marketing, Management",The future of psychedelic-assisted psychotherapy | Rick Doblin,"Could psychedelics help us heal from trauma and mental illnesses? Researcher Rick Doblin has spent the past three decades investigating this question, and the results are promising. In this fascinating dive into the science of psychedelics, he explains how drugs like LSD, psilocybin and MDMA affect your brain -- and shows how, when paired with psychotherapy, they could change the way we treat PTSD, depression, substance abuse and more.",no,Education
61,141,The Joe Rogan Experience,The official podcast of comedian Joe Rogan. Follow The Joe Rogan Clips show page for some of the best moments from the episodes.,"Society & Culture, Comedy",Emily Harrington,"Rock climber and adventurer Emily Harrington is a five-time US National Champion in Sport Climbing. She has scaled some of the world's most formidable mountains, including Everest, Ama Dablam, and Cho Oyu, and is the first woman to free climb El Capitan via Golden Gate in under 24 hours.",yes,Comedy
62,192.5,The Joe Rogan Experience,The official podcast of comedian Joe Rogan. Follow The Joe Rogan Clips show page for some of the best moments from the episodes.,"Society & Culture, Comedy",Willie D & Mike Judge,"Rapper, songwriter, and entrepreneur Willie D is a founding member of the classic hip hop group Geto Boys. In addition to his music career, he has been a candidate for public office, written for a widely-read advice column, and is a former Golden Gloves champion boxer. Mike Judge is a writer, director, actor, and filmmaker. He's the creator of Beavis & Butthead, co-creator of King of the Hill & also Silicon Valley, and director of movies such as ""Office Space"" & ""Idiocracy.""",yes,Comedy
63,227,The Joe Rogan Experience,The official podcast of comedian Joe Rogan. Follow The Joe Rogan Clips show page for some of the best moments from the episodes.,"Society & Culture, Comedy",John Mackey,"John Mackey is the CEO and co-founder of Whole Foods Market, co-founder of the nonprofit Conscious Capitalism, Inc., and co-author of Conscious Leadership: Elevating Humanity Through Business.",yes,Comedy
64,289,The Joe Rogan Experience,The official podcast of comedian Joe Rogan. Follow The Joe Rogan Clips show page for some of the best moments from the episodes.,"Society & Culture, Comedy",Tom Green,"Tom Green is a comedian, actor, filmmaker, and talk show host. His latest project is The Tom Green Interview: a podcast series featuring weekly conversations with celebrities, newsmakers, and everyday people.",yes,Comedy
65,213,The Joe Rogan Experience,The official podcast of comedian Joe Rogan. Follow The Joe Rogan Clips show page for some of the best moments from the episodes.,"Society & Culture, Comedy",Donnell Rawlings & Dave Chappelle,"Donnell Rawlings is a stand up comedian, actor, and podcaster. His podcast, The Donnell Rawlings Show, is available on YouTube and most podcast platforms. Dave Chappelle is a stand up comedian and actor. Look for Chappelle's Show now streaming on Netflix.",yes,Comedy
66,140,The Joe Rogan Experience,The official podcast of comedian Joe Rogan. Follow The Joe Rogan Clips show page for some of the best moments from the episodes.,"Society & Culture, Comedy",Nicholas Christakis,"Nicholas A. Christakis is the Sterling Professor of Social and Natural Science at Yale University, where he also directs the Human Nature Lab, and serves as Co-Director of the Yale Institute for Network Science. His most recent book is Apollo's Arrow: The Profound and Enduring Impact of Coronavirus on the Way We Live.",yes,Comedy
67,96,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh.",Comedy,Ep. 75 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer,"In today's show, Bert breaks out his Gucci handbag to reveal all of his favorite ""sleepy time/wakey time"" treats. After that, Bert shares his tips on how to properly deal with your first DUI as they watch arrest videos of Johnny Damon and Reese Witherspoon. Next, Tom and Bert reminisce about when a couple sex scenes they acted in got a little out of control. Lastly, they talk about the recent waves of ""Cancel Culture"" and how Bert has no problem having fun with gay guys.",no,Comedy
68,97.5,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh.",Comedy,Ep. 74 | 2 Bears 1 Cave w/ Andrew Santino & Bobby Lee,"We're replacing The Bears with some Bad Friends today so say hello to your new hosts of 2 Bears 1 Cave, Andrew Santino and Bobby Lee! We get right into it with all the weird things Bobby does with his dogs, trying to remember Nadav's name, and calling Tom & Bert. Bobby talks about smoking a cigarette indoors where the Last Supper was painted and how people weren't cool with it. Bobby and Andrew reveal they know exactly how to push each others buttons and things almost spiral VERY quickly. Bobby reviews The Snyder Cut of The Justice League movie and then tries to convince Andrew he was in Keeping Up With The Joneses with Gal Gadot. All this, plus a revealing dance from Bobby.",no,Comedy
69,89.5,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh.",Comedy,Ep. 73 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer,"Today on 2 Bears, 1 Cave, Tom and Bert discuss the latest on Meghan Markle and the Royal Family. Afterwards, they take a deep dive into Papa John's struggle with his racist vocabulary along with the common issues with ""big words"" in our society. To cap it off, Bert explains his exercise/diet routine, how he feels very similar to Dwayne ""The Rock"" Johnson and that he might be able to beat him in a foot race.",no,Comedy
70,84.5,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh.",Comedy,Ep. 72 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer,"Tom Segura and Bert Kreischer call former college football player, and ""handshake king"" Cortez Lewis. Lewis teaches Tom and Bert a ""2 Bears"" handshake. The call with Cortez gives Bert the idea to start a sports agency. The Bears also discuss Hugh Jackman's best films, Tom's former acting classmate Minka Kelly's dating history, Deion Sanders' hair transplant, and more!",no,Comedy
71,83.5,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh.",Comedy,Ep. 71 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer,"Tom Segura and Bert Kreischer talk about Bert's obsession with candy and predictable repeated tooth loss, the unnerving images of ""My Feet Are Killing Me,"" and get inspiration for their secret handshake from a video of Wake Forest football player, Cortez Lewis. They also discuss experiences they had with comedy legend Patrice O'Neal. And finally they call up Justin Martindale to resolve the age old question, ""Who's hotter? Bert or Tim Dillon?""",no,Comedy
72,84.5,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh.",Comedy,Ep. 70 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer,"Tom Segura and Bert Kreischer discuss the Oklahoma football player who got in a fight with an MMA fighter, Bobby Shmurda being released from prison, Jennifer Aniston's Instagram stories shouting out the Bears, Tiger Woods' car accident, possibly going on a guy's trip with Ben Affleck and Matt Damon, and more!",no,Comedy
73,51.5,Anything Goes with Emma Chamberlain,"Emma has a LOT on her mind. Good thing she has a podcast to talk about it all. Appropriately named, anything really does go on this podcast. Thoughts, conversations, and advice on topics from relationships and dealing with failure, to the trials and tribulations of being a cat mom, and ridiculous stories with friends we can all relate to. Its raw, intimate, and nothing is off limits (seriously, Anything Goes). It may be serious, itll mostly be funny, and itll always be entertaining. New episodes every Thursday. ","Comedy, Science",Traveling Alone,"Emma is back from a much needed solo trip to NYC. She chats through it and discusses the benefits of traveling alone, even if it’s outside of our comfort zone, when we need a little reset. Plus, why being alone can be beneficial, how to be comfortable being alone if you aren’t used to it, and some tips on doing some self-reflection.",yes,Comedy
74,40.5,Anything Goes with Emma Chamberlain,"Emma has a LOT on her mind. Good thing she has a podcast to talk about it all. Appropriately named, anything really does go on this podcast. Thoughts, conversations, and advice on topics from relationships and dealing with failure, to the trials and tribulations of being a cat mom, and ridiculous stories with friends we can all relate to. Its raw, intimate, and nothing is off limits (seriously, Anything Goes). It may be serious, itll mostly be funny, and itll always be entertaining. New episodes every Thursday. ","Comedy, Science",exposing myself,"We've all had some pretty embarrassing moments in our lives. Emma has had plenty, and she's here to share them all. From awkward kiss experiences, to the things her cleaning lady finds under her bed, and what is she doing while in bed with someone else???",yes,Comedy
75,67.5,Anything Goes with Emma Chamberlain,"Emma has a LOT on her mind. Good thing she has a podcast to talk about it all. Appropriately named, anything really does go on this podcast. Thoughts, conversations, and advice on topics from relationships and dealing with failure, to the trials and tribulations of being a cat mom, and ridiculous stories with friends we can all relate to. Its raw, intimate, and nothing is off limits (seriously, Anything Goes). It may be serious, itll mostly be funny, and itll always be entertaining. New episodes every Thursday. ","Comedy, Science",advice session #9 ,"Emma is back with another advice session, answering everyone’s questions! Topics like how to stop caring about your significant other’s ex, dealing with anxiety getting back into social situations, getting adventurous with your outfits, keeping strong relationships with divorced parents, how to navigate the friend zone, and much more!",yes,Comedy
76,74,Anything Goes with Emma Chamberlain,"Emma has a LOT on her mind. Good thing she has a podcast to talk about it all. Appropriately named, anything really does go on this podcast. Thoughts, conversations, and advice on topics from relationships and dealing with failure, to the trials and tribulations of being a cat mom, and ridiculous stories with friends we can all relate to. Its raw, intimate, and nothing is off limits (seriously, Anything Goes). It may be serious, itll mostly be funny, and itll always be entertaining. New episodes every Thursday. ","Comedy, Science",celebrity culture,"A lot of us grow up wanting to be famous, but is fame really all it’s cracked up to be? Having gotten a little taste of popularity in her own world, Emma talks about what it’s like having a following and being in the public spotlight. Plus, what it’s like for other major celebrities who are being scrutinized 24/7, with almost no privacy. What happens behind the scenes, the effect it has on your relationships and your mental health, and why so many people in the constant spotlight get addicted to substances.",yes,Comedy
77,81,Anything Goes with Emma Chamberlain,"Emma has a LOT on her mind. Good thing she has a podcast to talk about it all. Appropriately named, anything really does go on this podcast. Thoughts, conversations, and advice on topics from relationships and dealing with failure, to the trials and tribulations of being a cat mom, and ridiculous stories with friends we can all relate to. Its raw, intimate, and nothing is off limits (seriously, Anything Goes). It may be serious, itll mostly be funny, and itll always be entertaining. New episodes every Thursday. ","Comedy, Science",acne,"Acne is something a lot of us have dealt with or are dealing with currently. For some, it can be really difficult. Emma has had her own well-documented journey with acne, but it took a really serious toll on her both physically and mentally. She shares her entire story, from dealing with a ton of confidence issues, to depression, to all of the frustrations of treatments that weren’t working, and finally overcoming it. She shares tips on managing acne, how to get through it, and how to stay confident with it.",yes,Comedy
78,53,Anything Goes with Emma Chamberlain,"Emma has a LOT on her mind. Good thing she has a podcast to talk about it all. Appropriately named, anything really does go on this podcast. Thoughts, conversations, and advice on topics from relationships and dealing with failure, to the trials and tribulations of being a cat mom, and ridiculous stories with friends we can all relate to. Its raw, intimate, and nothing is off limits (seriously, Anything Goes). It may be serious, itll mostly be funny, and itll always be entertaining. New episodes every Thursday. ","Comedy, Science",fashion,"Over the years Emma has built her fashion identity and shared it all over the internet. This episode she talks about that journey and shares advice on how everyone can find their own fashion identity. From awkward stages, to inspiration, to trends, and carving your own way despite what others may think. Questions on staple pieces, where to spend your money (and where to save) and how to create your own look that unique to you.",yes,Comedy
79,98.5,Call Her Daddy,"Follow along vlogger Alexandra Cooper and best friend Sofia Franklyn as the duo dives into the explicit details of their life in NYC. In their 20s, the two exploit the f*ck out of their lives, making you feel a hell of a lot better about yours. Relationships, sex, the NY social scene, embarrassing moments, and more are all addressed here on CALL HER DADDY.",Comedy,116- Dirty Deets from The #1 Playboy Bunny (ft. Holly Madison),"This week, Father Cooper is joined by an ICONIC guest, former playmate, Holly Madison. During her 20s, Holly entered the Playboy mansion and became one of the many girlfriends of Hugh Hefner, the infamous founder of Playboy magazine. Holly walks the daddy gang through her childhood and relationship with her family, as well as the struggles she experienced internally and socially that eventually led her to not only become a Playboy bunny, but to join the inner circle of women exclusively intimate with Heff, who at the time was 74. Holly’s truth about life in the mansion is radically different than how it was portrayed on the successful reality show, ‘The Girls Next Door.’ Strict curfews, clot...",yes,Comedy
80,90,Call Her Daddy,"Follow along vlogger Alexandra Cooper and best friend Sofia Franklyn as the duo dives into the explicit details of their life in NYC. In their 20s, the two exploit the f*ck out of their lives, making you feel a hell of a lot better about yours. Relationships, sex, the NY social scene, embarrassing moments, and more are all addressed here on CALL HER DADDY.",Comedy,115- K-Holes & Chlamydia (ft. Harry Jowsey),"This week, Father Cooper is enjoying spring break with the one and only... Harry Jowsey. AND THINGS ARE GETTING INSANE. Harry immediately confront Alex about a man that is talking about her head game in LA.. drama. Then, the 2 discuss their experience getting chlamydia, uncovering if guys look at your butthole during doggy-style, bleaching your asshole, and drugs & k-holes. Lastly, Alex tell 2 college stories she has never told on the podcast before, one including a Patriot's player she woke up in bed with in Foxborough and doing drugs with her ex-boyfriend gone wrong. ENJOY DADDY GANG!!!!!!",yes,Comedy
81,72.5,Call Her Daddy,"Follow along vlogger Alexandra Cooper and best friend Sofia Franklyn as the duo dives into the explicit details of their life in NYC. In their 20s, the two exploit the f*ck out of their lives, making you feel a hell of a lot better about yours. Relationships, sex, the NY social scene, embarrassing moments, and more are all addressed here on CALL HER DADDY.",Comedy,114- This is Mia Khalifa. (ft. Mia Khalifa),"This week, Father Cooper sits down for an interview with the one and only Mia Khalifa…move over Oprah. Mia opens up about the struggles she faced while growing up as an immigrant in a post 9/11 society and the bullying and harassment that followed. She recounts the darkest time in her life and how she overcame global shaming, death threats, and ISIS. Mia tells her story with an inspiring amount of strength and affirms how one’s past does not define their future. It wouldn’t be an episode of Call Her Daddy without a little sex, and Mia shares one of the most intimate sexual experiences she has had with a partner. Lastly as always, therapy is the key to life. ENJOY DADDIES!",yes,Comedy
82,74.5,Call Her Daddy,"Follow along vlogger Alexandra Cooper and best friend Sofia Franklyn as the duo dives into the explicit details of their life in NYC. In their 20s, the two exploit the f*ck out of their lives, making you feel a hell of a lot better about yours. Relationships, sex, the NY social scene, embarrassing moments, and more are all addressed here on CALL HER DADDY.",Comedy,113- How to Trick Him into Proposing (ft. Hannah Berner),"This week’s episode, Father Cooper is joined by OG guest and fan favorite, Hannah Berner. AND IT’S A BIG ONE BABY. Hannah sits in the hot seat and details for the Daddy Gang how she managed to get a man on TWO knees and propose to her. The dirty details of how unglamorous engagements are, picking out your own ring, putting a ring on chubby fingers, and the awful bachelor show effect on love will all be discussed on this week’s ep. AND IT DOESN’T STOP THERE. It gets even juicier when the girl’s get deep and talk how social media has effected their mental health and the issues they have come to face through hate and the podcast industry. ENJOY DADDIES!!!",yes,Comedy
83,66,Call Her Daddy,"Follow along vlogger Alexandra Cooper and best friend Sofia Franklyn as the duo dives into the explicit details of their life in NYC. In their 20s, the two exploit the f*ck out of their lives, making you feel a hell of a lot better about yours. Relationships, sex, the NY social scene, embarrassing moments, and more are all addressed here on CALL HER DADDY.",Comedy,112- The Debaucherous Tails Aboard The Litty Titty Torture Train (Ft. Egg Farts),"This week, join Father Cooper aboard the litty titty torture train as she details the train wreck that has been her and Lauren’s life since moving to LA. They explore not only the impact covid has had on their alcohol intake, but also how it has affected their masturbation style...cue bathtub masturbation. The girls really bring relatability this week when they discuss a classic topic, egg farts. If you smelt it, you dealt it! If egg farts aren’t your thing, this episode should at least make you feel less shitty about your own drunken nights. Lost keys, fingers in buttholes, blue lips, and a country club...this episode has a little of everything. Enjoy Daddies!!!",yes,Comedy
84,107,Call Her Daddy,"Follow along vlogger Alexandra Cooper and best friend Sofia Franklyn as the duo dives into the explicit details of their life in NYC. In their 20s, the two exploit the f*ck out of their lives, making you feel a hell of a lot better about yours. Relationships, sex, the NY social scene, embarrassing moments, and more are all addressed here on CALL HER DADDY.",Comedy,"111- The Map to Dating Apps & Rich Dudes (ft. my holemate, Paige DeSorbo)","Father Cooper is joined by NYC reality tv star, fashion blogger, beautiful human and holemate- Paige Desorbo. The two describe their sides of the story to knowing each other through an ex boyfriend... as one of the girl's matched with the other's boyfriend on a dating app.. DRAMA!!! They also discover they were dating the same famous actor in NYC at the same exact time, going on the same exact dates LOL. Paige then details her newly single life, dating younger vs. older men, model apartment life in NYC, dating the bad boy phase, going to an all girl school, being in love only once, dealing with bitchy girls, and SO MUCH MORE. This one feels like you are sitting around, talking shit with your...",yes,Comedy
85,69,SmartLess,"New episodes come out every Monday for free, with 1-week early access when you join Amazon Music or 1-week early and ad-free for Wondery+ subscribers ""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.
    ","Education, Comedy, Science, Society & Culture, How To, Comedy Interviews","""Ted Sarandos""","The gents are thrilled to host their dear friend and boss on the pod this week: Mr. Ted Sarandos (Co-CEO and Chief Content Officer for Netflix). They talk shoppe, they talk turkey, and Will finallllly explains to the guys what ""Netflix and chill"" means. Ta-dum!",yes,Comedy
86,69.5,SmartLess,"New episodes come out every Monday for free, with 1-week early access when you join Amazon Music or 1-week early and ad-free for Wondery+ subscribers ""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.
    ","Education, Comedy, Science, Society & Culture, How To, Comedy Interviews","""Stephen Colbert""","This week we take a wild ride through the brain of Mr. Stephen Colbert (host, comedian, pro skier). The gang examines Jason's 'pleasant hostility,' Stephen's Lord of the Rings memorabilia, and a few '100% true' stories.",yes,Comedy
87,44.5,SmartLess,"New episodes come out every Monday for free, with 1-week early access when you join Amazon Music or 1-week early and ad-free for Wondery+ subscribers ""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.
    ","Education, Comedy, Science, Society & Culture, How To, Comedy Interviews","""W. Kamau Bell""","We are joined this week by Mr. W. Kamau Bell, television host and stand-up comic, and wicked smart dude. He tells us about the birds and the bees, when to teach your children new things, and his grand ideas for Ozark's next season.",yes,Comedy
88,62,SmartLess,"New episodes come out every Monday for free, with 1-week early access when you join Amazon Music or 1-week early and ad-free for Wondery+ subscribers ""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.
    ","Education, Comedy, Science, Society & Culture, How To, Comedy Interviews","""Brad Paisley""","The incredibly talented Brad Paisley shares his perfect blend of country and comedy while we all blush with a crush. ""I'm takin' my baby out into this cornfield tonight""... is exactly how we felt after the interview too.",yes,Comedy
89,66.5,SmartLess,"New episodes come out every Monday for free, with 1-week early access when you join Amazon Music or 1-week early and ad-free for Wondery+ subscribers ""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.
    ","Education, Comedy, Science, Society & Culture, How To, Comedy Interviews","""George Clooney""","George Clooney joins us this week for a hurricane of tears... of joy. Between his ridiculous horseplay and profound, prolific involvement in human rights issues and philanthropy, Clooney's got all bases covered. And he's definitely someone who you can trust with your cat.",yes,Comedy
90,52,SmartLess,"New episodes come out every Monday for free, with 1-week early access when you join Amazon Music or 1-week early and ad-free for Wondery+ subscribers ""SmartLess"" with Jason Bateman, Sean Hayes, & Will Arnett is a podcast that connects and unites people from all walks of life to learn about shared experiences through thoughtful dialogue and organic hilarity. A nice surprise: in each episode of SmartLess, one of the hosts reveals his mystery guest to the other two. What ensues is a genuinely improvised and authentic conversation filled with laughter and newfound knowledge to feed the SmartLess mind.
    ","Education, Comedy, Science, Society & Culture, How To, Comedy Interviews","""Awkwafina""","We are joined this week by the wonderful Awkwafina. She happens to be an expert on the 1999 filmic masterwork: 'Love Stinks' and we're proud to explore these issues in-depth with her (amongst other things). Listen folks, it's the first day of March and we're all super excited about it!",yes,Comedy
91,35.5,Criminal,"Criminal is the first of its kind. A show about people whove done wrong, been wronged, or gotten caught somewhere in the middle. Hosted by Phoebe Judge.
    ","True Crime, Education, Society & Culture, Personal Journals, Harry Potter",Episode 161: Only in Hollywood,"When Joan Borsten married actor Oleg Vidov, also known as “the Soviet Robert Redford,” he introduced her to beautiful Soviet animations created in Moscow’s Soyuzmultfilm studio, like Hedgehog in the Fog, by Yuri Norstein. Joan and Oleg eventually acquired the rights to distribute the films outside of the former Soviet Union. One day, Joan realized someone was undercutting their business, and she devised a very Hollywood solution. We talk with Joan Borsten, Andre Violentyev, and former FBI Special Agent and current private investigator, Jake Schmidt. You can learn more about Joan Borsten’s late husband, “the Soviet Robert Redford” in her new documentary, based on his autobiography. It’s called “The Oleg Vidov Story.”",no,True Crime
92,29,Criminal,"Criminal is the first of its kind. A show about people whove done wrong, been wronged, or gotten caught somewhere in the middle. Hosted by Phoebe Judge.
    ","True Crime, Education, Society & Culture, Personal Journals, Harry Potter",Episode 160: Hot Lotto,"In 2010, a $16.5 million Hot Lotto ticket was sold at a gas station in Des Moines, Iowa. At first, no one showed up to claim the prize. And then, a series of lawyers tried to claim the money on behalf of a client they would not name. Things got stranger, and eventually investigators uncovered what has been called the biggest lottery fraud in U.S. history. We speak with Iowa’s state Auditor, Rob Sand, and with Ed Stefan, who spent years working at the Multi State Lottery Association.",no,True Crime
93,38,Criminal,"Criminal is the first of its kind. A show about people whove done wrong, been wronged, or gotten caught somewhere in the middle. Hosted by Phoebe Judge.
    ","True Crime, Education, Society & Culture, Personal Journals, Harry Potter",Episode 159: Spiritual Developments,"One Sunday afternoon, a man named William Mumler decided to take a self portrait. He said he was alone in the photography studio, but as the photograph developed he saw something very strange—the image of someone else, sitting beside him. Mumler’s “spirit photograph” was championed by advocates of Spiritualism, who saw it as evidence that the living could communicate with the dead. Mumler began to host portrait sessions in his studio, for a hefty fee. Abraham Lincoln’s wife, Mary Todd Lincoln, visited Mumler to have her portrait taken with the hope of contacting her late son. Louis Kaplan’s book is The Strange Case of William Mumler, Spirit Photographer.",no,True Crime
94,33.5,Criminal,"Criminal is the first of its kind. A show about people whove done wrong, been wronged, or gotten caught somewhere in the middle. Hosted by Phoebe Judge.
    ","True Crime, Education, Society & Culture, Personal Journals, Harry Potter","Episode 158: ""If it ever happens, run.""","“What I recall most is the way that she grabbed my wrist and, shaking a bit, she said over and over again, ‘If it happens, run. Don’t let that happen to you. Run. If it ever happens, run.’” It was years before Cynthia Brown understood what her great-grandmother, Athalia Howe, was talking about. Athalia Howe grew up in Wilmington, North Carolina in the late 1890s. At the time, Wilmington was called “the freest town in the country” for Black people, and by 1898, Black men had become integral in Wilmington’s government. White Supremacists in the state were determined to stop them, by ""ballot or bullet or both.” David Zucchino's book isWilmington's Lie: The Murderous Coup of 1898 and the Rise of White Supremacy.",no,True Crime
95,35,Criminal,"Criminal is the first of its kind. A show about people whove done wrong, been wronged, or gotten caught somewhere in the middle. Hosted by Phoebe Judge.
    ","True Crime, Education, Society & Culture, Personal Journals, Harry Potter",Episode 157: The Short Life of Qandeel Baloch,"Qandeel Baloch grew up in a conservative village in Pakistan called Shah Sadar Din, a place where it was shocking to see a woman swimming outdoors. She ran away from home, changed her name from Fouzia Azeem, auditioned for Pakistan Idol, and eventually became “Pakistan’s first social media star.” By 2015, she was reported to be one of the 10 most Googled people in Pakistan. As she became more famous, Qandeel Baloch also became more controversial. She received intense criticism when she posed for photos with a famous cleric named Mufti Abdul Qavi in his Karachi hotel room and later tweeted that he had behaved inappropriately, in June 2016. The next month, she was dead. Her brother, Waseem Azeem, confessed to her murder. He said, “She was bringing disrepute to our family’s honour and I could not tolerate it any further.” Because of a loophole in Pakistan’s laws regarding honor killings, he believed he would not be punished. Sanam Maher’s book is A Woman Like Her: The Story Behind the Honor Killing of a Social Media Star.",no,True Crime
96,40,Criminal,"Criminal is the first of its kind. A show about people whove done wrong, been wronged, or gotten caught somewhere in the middle. Hosted by Phoebe Judge.
    ","True Crime, Education, Society & Culture, Personal Journals, Harry Potter",Episode 156: Sister Helen,"In 1982, Sister Helen Prejean was invited to write a letter to a man on death row in Louisiana’s Angola State Prison named Elmo Patrick Sonnier. She told us, “I thought that all I was going to be doing was writing letters. And lo and behold, two years later, I am in that execution chamber.” She’s now 81, and has been present at the executions of six men. Sister Helen’s book, Dead Man Walking, is about her time as a spiritual advisor to Elmo Patrick Sonnier and Robert Lee Willie. It was adapted into a movie starring Susan Sarandon and Sean Penn.",no,True Crime
97,119.5,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,Lifelong fans of true crime stories Karen Kilgariff and Georgia Hardstark tell each other their favorite tales of murder and hear hometown crime stories from friends and fans.,"True Crime, Comedy, Books, Fiction, News",268 - All-Stars of 7th Grade,"On this week’s episode, Karen and Georgia cover The Poet of Wichita and the true story of the ‘Cocaine Bear.’",yes,True Crime
98,119,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,Lifelong fans of true crime stories Karen Kilgariff and Georgia Hardstark tell each other their favorite tales of murder and hear hometown crime stories from friends and fans.,"True Crime, Comedy, Books, Fiction, News",267 - Leg Show,"On this week’s quilt episode, Karen and Georgia cover the Adolphus Hotel Ghosts and the Bunnyman Legend.",yes,True Crime
